essay,error,message,category,frase,comp1,url
167,AO_MEU_VER_BR,Substitua «ao meu ver» por “a meu ver”.,MISC,"Acredito que um dos grandes desafio de uma sociedade ""supostamente"" moderna é extinguir da cultura humana o autoritarismo no trabalho que prevalece de sobre os homens de várias maneiras, a mais frequentes delas ao meu ver é o desrespeito as leis trabalhistas talvez essa seja a de menor gravidade, considerando inúmeras denuncias corriqueiras que lemos em jornais, trabalhadores em condições sub-humanas, onde até água para os braçais era racionada parece coisa de outro mundo, mas foi aqui no Brasil mas precisamente no Estado do Pará presenciado por Auditores do TrabalhoNessas situações o que faltou para um trabalhador na vida, para ele se sujeitar a esse tipo e situação, talvez a necessidade de sustento da família, falta de uma educação adequada, e essa cultura de escravizar vai passando de geração em geração, tanto para quem a pratica quanto aqueles que sofrem esse tipo de agressão moral, crianças deixam de estudar para ajudar nas despesas de casa, e quanto mais isolados esses trabalhadores o numero de pessoas nessas condições só aumentam.",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/um-fenomeno-comum-entre-paises-ricos-e-pobres.htm
168,QUE_VERB_GERUND,"Em certos contextos, esta perífrase pode ser simplificada.",MISC,"Mesmo com a evolução humana, com o desenvolvimento de novas ciências que atuam em prol do bem coletivo, o homem não se livrou do trabalho escravo, um sério problema que consiste em trabalhar contra a vontade própria perante condições desumanas e sem direitos.",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/trabalho-escravo-um-problema-da-humanidade.htm
172,ESTAR_DE_ACORDO,Substitua por,MISC,"O bom seria que tudo estivesse de acordo com a lei, e que nada disso tivesse existido, o certo seria denunciar os casos e reverter essa situação.",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/escravizar-acao-desumana.htm
202,DEPOIS_DE_APÓS,Substitua por “após”.,MISC,"Depois de vários pedidos pela liberação da pílula, a presidenta cedeu, criando uma lei que consta a aprovação do remédio, mesmo sem o concedimento de médicos e cientistas.",1.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/a-liberacao-da-fosfoetanolamina.htm
203,CONTRA_CAPA,Substitua por “contrapartida”.,MISC,Em contra partida autoridades de âmbito científico desaprovam o uso da substância enfatizando a complexidade deste assunto.,0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/o-bem-estar-e-prioridade.htm
240,A_TERRA_FIRME_BR,Substitua «a» por “à” se estiver usando a palavra terra no sentido chão firme.,MISC,"Nicolau Copérnico, grande físico da idade media por mais que sofresse com as torturas da Santa Inquisição, não deixaria de acreditar que a terra era redonda, ou que era filho de Deus.",0.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/viver-e-a-arte-de-conviver.htm
256,DECRETO_DE_LEI,Substitua por “decretos-lei”.,MISC,"Hoje existem projetos e decretos de lei contra a descriminação assim dando mais segurança a população que sofre algum tipo de intolerância seja ela qual for, Para que isso mude devemos fazer a nossa própria parte assim dando ao fim a intolerância e incentivar as pessoas ao fim deste preconceito, e mostrando a igualdade a todos.",0.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/combate-a-intolerancia.htm
263,À_VERBO_DE,"Em certos contextos, esta perífrase pode ser simplificada.",MISC,Isso se deve tanto à falta de qualificação profissional adequada das pessoas sobretudo também na gigantesca evolução da tecnologia que sempre se renova.,1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/o-desemprego-estrutural-nos-dias-de-hoje.htm
335,DEVE_DE,Substitua por “devemos”.,MISC,"mãe alguma não tem a culpa de ter um filho assim, e raramente são poucas que aceita que o fale desse jeito, certamente não devemos de jeito algum jurar a morte do próximo, um dos erros que vimos muito é a maldade que a polícia vem trazendo é isso ninguém pensa no quanto não devemos confiar em policia por nos ajudar diante de uns bandidos por ai, os próprios bandidos são os policias e isso a população alguma se comove com a verdade.",0.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/a-maldade-esta-esta-no-mundo.htm
368,DE_UM_MODO_GERAL,Substitua por: ,MISC,"Com a educação de um modo geral longe do ideal nos dias atuais, algumas instituições são exceções de um ensino básico ruim, como, algumas escolas da prefeitura, a maioria das particulares e o ensino diferenciado das militares.",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/o-melhor-caminho-para-a-educacao.htm
473,ALERTAS_BR,"Alerta é invariável para indicar número ou gênero com exceção de quando está acompanhado de um artigo (Ex: os).
				Substitua «alertas» por “alerta”.",MISC,"Atualmente essa realidade não se firma apenas no Nordeste, diversas outras regiões, como a Sudeste, já convive com a prolongada falta de água, algo que é resultado de muita irresponsabilidade na gestão hídrica por meio do estado e também do desperdício constante da população, que possuía um idealismo de infinitude sobre a água, um ideal que fora desmistificado há muitos anos atrás, quando diversos alertas foram feitos sobre a finitude e o desperdício da água e suas consequências.",1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/agua-crise-hidrica-e-humana.jhtm
486,DAQUI_BR,O advérbio daqui é usado para indicar lugar ou tempo e pede a preposição a. Substitua «daqui» por “daqui a”.,MISC,"Estamos vivendo uma situação que exige de nós extremos cuidados com os recursos hídricos, aquilo que temíamos para daqui vinte anos, está acontecendo agora, é necessário que busquemos soluções estratégicas para esse problema.",1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/as-acoes-so-virao-quando-a-crise-se-tornar-um-problema-financeiro.jhtm
492,TORNAR_MAIS_DIFICIL,Substitua por dificultando.,MISC,"que acaba tornando difícil o modo de como se expressar, por exemplo me expressar sobre um religião é válido, desde que não ofenda os seguidores da mesma .",1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/sem-titulo-070.jhtm
507,VERBO_ESTAR_A_VERBO_INF,"Em certos contextos, esta perífrase pode ser simplificada.",MISC,"A liberdade de expressão é algo que vem sendo conquistado a várias gerações, poder  dizer o que se pensa sem se preocupar com o que vão pensar, ou com o que isso me trará como consequência, é algo perigoso pois caba por ser vítima das opiniões alheias, e de julgamentos de quem está a observar seus atos, isso ocorre todos os dias, milhares de vezes nas redes sociais e em meios de comunicação, já virou rotina e costume dizer no que está pensando e qual a opinião sobre determinados assuntos, porém a questão é o modo de dizer e o assunto a ser discutido, pois nem todos estão dispostos a compartilhar, aceitar e seguir seus ideais.",0.5,http://educacao.uol.com.br/bancoderedacoes/redacao/sem-papas-na-lingua.jhtm
521,AS_PONTUAL_BR,Substitua «as» por “às” se estiver fazendo indicação pontual de hora.,MISC,Entre as duas consequências à segunda é a que terá o maior numera de prejudicados.,0.5,http://educacao.uol.com.br/bancoderedacoes/redacao/a-evolucao-dos-livros-classicos.jhtm
579,FAZER_USO_DE-USAR-RECORRER,Substitua por:,MISC,"Atrelada a essa falta de maior investimento do governo está  a população, que faz uso das avenidas diariamente e que não respeita os ciclistas, o que gera acidentes que poderiam ser evitados.",0.5,http://educacao.uol.com.br/bancoderedacoes/redacao/o-futuro-vem-a-pedal.jhtm
617,HAVER,O verbo haver é impessoal no sentido de existir.,MISC,"O Brasil sofre com a corrupção e a pouco tempo viveu uma onda de protestos onde o tal foi dividido entre pacíficos e também em violentos onde houveram depredações, brigas, confrontamento com a policia etc.",1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/a-hora-do-basta-chegou.jhtm
706,DE_N_EM_N-A_CADA_N,Substitua por “a cada quatro”.,MISC,A copa e um evento esportivo que ocorre de quatro em quatro anos em países diferentes escolhidos pela FIFA através de sorteio e esse ano o grande escolhido foi o Brasil.,1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/o-legado-da-copa-para-o-brasil.jhtm
795,CAIU_EM_BR,O verbo cair no sentido aumentar e diminuir não admite a preposição em. Substitua «caiu em» por “caiu”.,MISC,Essa notícia mau formulada caiu em mãos erradas.,1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/intolerancia.jhtm
848,TEM_TÊM,Substitua por “têm”.,MISC,"Quando falamos de estudantes fica até mais difícil, porque eles cobram esse direito e alguns tem motivos para isso com certeza.",0.5,http://educacao.uol.com.br/bancoderedacoes/redacao/meia-entrada-faca-de-dois-gumes.jhtm
935,TORNAR_MAIS_FACIL,Substitua por “facilitar”,MISC,"O ideal é focar a carreira ou estudo naquilo em que a pessoa já tem certa habilidade, ou então em uma área que lhe traga prazer (mas também tenha certa rentabilidade, é claro), pois assim é possível manter uma boa qualidade de vida, ser feliz e tornar mais fácil a ascensão na carreira profissional.",1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/educacao-somente-ela-e-suficiente-para-se-ser-feliz-e-bem-sucedido.jhtm
959,QUER_SE_BR,Substitua «quer se» por “quer”.,MISC,"Isto é um fator de grande importância,  para quem quer se livrar de ser um consumista desequilibrado.",1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/o-universo-consumista.jhtm
973,HONRAR_COMPROMISSOS,É mais correto usar: “honrar”.,MISC,"É claro que temos que trabalhar e cumprir nossos compromissos, mais sem deixar que isso nos impessa  de realizar sonhos, vontades de amar, rir, e viver .",1.5,http://educacao.uol.com.br/bancoderedacoes/redacao/sobre-o-fim-do-mundo.jhtm
1088,ASSISTIU_O_BR,O verbo assistir no sentido de ver exige a preposição a. Substitua «assistiu o» por “assistiu ao”.,MISC,"Desde a Eco-92, o mundo assistiu o transcorrer de vinte longos anos e com eles surgiram, melhor dizendo, reapareceram questões sobre o Meio Ambiente que por décadas não foram solucionadas e que dizem respeito ao equilíbrio e à qualidade da vida na Terra, à utilização de recursos naturais não renováveis de que dispomos, os quais há séculos estão sendo utilizados de acordo com os interesses capitalistas e que poluem o Meio Ambiente e aceleram o aquecimento global.",2.0,http://educacao.uol.com.br/bancoderedacoes/redacao/as-responsabilidades-de-uma-economia-sustentavel.jhtm
1213,DE_CERTO,‘De certo’ equivale a ‘de determinado’. Se pretende indicar certeza utilize “decerto”.,MISC,O respeito é um ponto crucial para que isso de certo.,1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/bicho-nao-e-gente-e-nunca-vai-ser-mais-respeito-a-ele-e-a-voce.jhtm
1348,CHEGAR_AO_FIM_FINDAR_TERMINAR,Substitua por:,MISC,"O governo norte-americano informou, recentemente, que chegou ao fim a caçada ao mais procurado criminoso dos últimos tempos: Osama Bin Laden.",2.0,?http://educacao.uol.com.br/bancoderedacoes/redacao/vinganca-nao-e-justica.jhtm?
1348,PÔR_FIM_À_VIDA,Melhore a redação.,MISC,Os aspectos que envolveram a operação militar que pôs fim à vida do líder da facção terrorista islâmica Al-Qaeda suscitaram uma questão que fez a sociedade mundial pensar qual o limite entre a justiça e a vingança.,2.0,?http://educacao.uol.com.br/bancoderedacoes/redacao/vinganca-nao-e-justica.jhtm?
1389,MADRUGADA_MATINAL,"Em certos contextos, esta perífrase pode ser simplificada.",MISC,"Na  geração atual, tarde é considerado como uma hora da manhã e além.",1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/o-tempo-cronologico-e-a-mudanca-dos-pensamentos.jhtm
1699,LHE_S_ME_TE_VOS_VERB,Substitua por “Parece-me”.,MISC,"Me parece bizarro e até vergonhoso ver que, em um país onde a justiça não consegue prender nem os pedófilos espalhados por ele , perca tempo agora condenando as pessoas por darem ""selinhos"" em seus filhos ou filhas , pelo simples fato de algumas pessoas acharem que existe apelo sexual neste tipo de comportamento.",1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/ult4657u553.jhtm
1724,AULAS-ENSINO_A_DISTÂNCIA,Substitua por “à”.,MISC,"O ensino a distância tem, ou pelo menos deveria ter, objetivos positivos.",1.5,http://educacao.uol.com.br/bancoderedacoes/redacao/ult4657u538.jhtm
1744,CONCERTEZA_BR,Substitua «concerteza» por “com certeza”.,MISC,"Como disse Benjamim Franklin: ""Paz e harmonia, eis a verdadeira riqueza de uma família"", ou seja, se dentro do lar não existe aquilo de respeito , concerteza o jovem irá levar tudo o que aprendeu lá dentro para outros ambientes.",0.5,http://educacao.uol.com.br/bancoderedacoes/redacao/ult4657u519.jhtm
1813,ALUGAR_CASA,"Se não pretende realçar o tipo de imóvel, considere “arrendam”.",MISC,"Existem historias de pessoas que alugam casas enormes, de luxo, convidam amigos e familiares, dizendo que aquela casa é da passoa.",1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/ult4657u428.jhtm
1878,JÁ_MAIS,"Pretende dizer “jamais”? Caso contrário, é uma redundância.",MISC,"Por mais que tente ocultar o racismo racial, dizando que estah acabando ;já mais irá apagar este mau enquanto existir na alta sociedade pessoas com pessamentos retógrado.",0.5,http://educacao.uol.com.br/bancoderedacoes/redacao/ult4657u376.jhtm
1983,COMCERTEZA_BR,Substitua «comcerteza» por “com certeza”.,MISC,O uso continuado do álcool comcerteza também produz efeitos nocivos no organismo de qualquer um.,1.5,http://educacao.uol.com.br/bancoderedacoes/redacao/ult4657u269.jhtm
2009,ESQUECER_VERB,Insira a preposição ‘de’ após o verbo.,MISC,"É importante destacar que a realidade é a junção destes dois pontos de vista diferentes, na favela há sim bandidagem, marginais, trafico, pois é um lugar onde há muita discriminação por ser onde se concentra a massa pobre e miserável sem um bom estudo e pouca cultura, um povo esquecido porem existente.",1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/ult4657u242.jhtm
2095,ADJ_DE_VERB,Possível preposição desnecessária após adjetivo.,MISC,"Incentivos educacionais, culturais e algo que direcione a vida das pessoas como uma religião seria uma forma bem interessante de começar a mudar estes quadros, mas a falta de educação e a falta de uma ética e moral verdadeira diminuem qualquer chance de melhora em nosso país.",1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/ult4657u154.jhtm
