,essay,error,message,frase
20,2,0,,"O verdadeiro intuito da promulgação de uma nova lei é trazer melhoras para o país, mas a Constituição Federal não é uma ciência exata, sendo assim sempre terá suas brechas."
21,2,0,,"O regime militar acabou, trazendo fim o instituto da censura, vivemos num país onde os meios de comunicação tem o direito de expressar livremente sem ter o consentimento das autoridades militares."
22,2,0,,"No tempo da ditadura antes de ser colocado num jornal uma notícia, tinha que primeiro ser liberada pelas autoridades da época , viviam sob o jugo, com mordaças em suas bocas, e qualquer um que se opusesse ao sistema de governo, era perseguido duramente, a ponto de perderam suas vidas por defenderem qualquer ideal que fosse contrário ao sistema de governo da época, mas essa liberdade tão duramente alcançada a custo do derramamento do sangue de muitos brasileiros, não dever ser usada de maneira arbitrária a ponto de ferir a intimidade de qualquer cidadão; no dia 16 de agosto de 94, tivemos um grande exemplo mostrando que a liberdade de expressão tem seu limite,  a TV Globo teve que se retratar ao vivo perante todo o país, pois então o governador do Rio de Janeiro Leonel Brizola sentiu-se ofendido, requerendo assim os seus direitos, e por esses dias foi visto por todo o país o Jornal a Folha de S."
23,2,1,Missing comma between the 'aposto'; ,"Paulo e o Globo recebendo uma liminar para retirar do ar textos publicados em seus sites na internet, referentes a primeira-dama Marcela , por sentir assim sua intimidade violada."
24,2,0,,"Chega-se a conclusão que tem que haver uma harmonia entre a liberdade de expressão e a intimidade, para que se possa ter um país no qual a lei deva ser usada de maneira efetiva e trazer benefícios, em vez de confusão, não há de se falar em desrespeito ao liberdade de expressão, quando na verdade o objetivo da lei e trazer melhora, a Constituição não é uma ciência exata, mas para ser efetiva o equilíbrio é fundamental, liberdade com freio não é censura, mas sim harmonia."
25,3,0,,"Sabe-se que o cidadão tem direito à privacidade, a ter sua intimidade preservada e àquele que ousar desrespeitá-la está sujeito à punição, e isso pode ser comprovado na Constituição, que diz o seguinte : ""São invioláveis a intimidade, a vida privada, a honra e a imagem das pessoas, assegurado o direito a indenização pelo dano material ou moral decorrente de sua violação""."
26,3,0,,"Porém, vale lembrar que certas pessoas estão sempre expostas a críticas, principalmente quando se trata da vida de uma pessoa pública, como por exemplo o presidente da República, e é imprescindível ressaltar que o cotidiano de alguém de tamanha importância, diz sim, respeito aos brasileiros, e neste caso,  a imprensa não deve se omitir de forma alguma a manter o povo bem informado, ainda mais se o assunto em questão também for público."
27,3,1,Missing comma between the 'aposto'; ,"Sendo assim, pode-se perceber que certas entidades articulam-se de meios ""lícitos"" para dissimular e manipular o povo, de modo que, estes, só venham a ter conhecimento daquilo que lhes é conveniente."
28,4,2,Comma separating Subject from predicate; Missing comma between the 'aposto'; ,"A liberdade de expressão e o direito a vida privada tem gerado um considerável conflito, essa problemática advém após jornais sofrerem uma censura por postar informações intimas sobre a vida do presidente da republica Michel temer e a primeira-dama Marcela temer ."
29,4,1,Comma separating Subject from predicate; ,"Antes de apontar quem estar certo, é preciso fazer uma breve analise do conteúdo que foi exposto, haja vista que os fatos eram de cunho pessoal, ou seja, sem importância para a sociedade."
30,4,0,,"É necessário ressaltar que as informações coletadas foram levantadas de forma fraudulenta, por meio da ação de um hacker, e o mesmo tinha o intuído de adquirir benefícios através de ameaças à Marcela ou difamar a figura do Presidente."
31,4,1,Missing comma between the 'aposto'; ,"Desse modo, a primeira-dama ágil corretamente, pois ela goza dos mesmos direitos elencados no artigo 5º da Constituição Federal, portanto Federal."
32,4,0,,"Portanto, a postura tomada, defendendo seus direitos ante os veículos de informações, têm apoio jurídico, tornando assim a censura legitima ."
33,4,0,,"Sendo assim, todo conteúdo tendencioso à ferir a celeridade das garantias constitucionais ou a liberdade de terceiros faz-se necessário passar por uma rigorosa analise para evitar decisões conflitantes entre normas fundamentais."
34,5,0,,"A liberdade de expressão é um direito expresso e garantido ao cidadão, entretanto, as diversas falhas presentes na constituição podem ocasionar conflitos acerca da sua aplicabilidade, uma vez que existem outros dispositivos legais – como a inviolabilidade da intimidade – que são direta ou indiretamente afetados, e por isso também precisam ser considerados na resolução do conflito."
35,5,0,,"É sabido que a constituição brasileira deixa margens claras para segundas interpretações acerca da lei,  ainda que um direito seja previsto e garantido não basta apenas aplicá-lo, é necessário utilizar-se do bom senso – uma vez que, devido a tais falhas nos dispositivos legais, o direito de terceiro também pode ser afetado."
36,5,0,,"Nesse aspecto, a liberdade de expressão se torna passível de questionamento – como aconteceu com a atual primeira-dama, em que a sua imagem e intimidade seriam violadas caso uma reportagem tivesse sido publicada."
37,5,1,Comma separating Subject from predicate; ,"Além do mais, mesmo que a informação geradora do conflito já fosse de fato pública em processo judicial, o critério para que ela seja divulgada em jornal fica necessariamente a cargo daquele que é afetado, visto que a sua propagação poderia alarmar o problema."
38,5,0,,"Convém ressaltar, também, que não cabe à imprensa decidir o que violaria ou não a intimidade e a imagem de uma pessoa."
39,5,0,,"Portanto, antes de aplicar integralmente o que diz na lei, é preciso considerar os seus fatores correlatos e os que são afetados – sendo assim, para que os valores contidos na constituição brasileira sejam preservados, é necessária a criação de um novo dispositivo legal capaz de estabelecer de forma clara e objetiva as restrições e a amplitude de atuação desses direitos."
40,6,0,,"O direito à livre expressão e a intimidade são básicos ao ser humano, e estão garantidos (à base de duras lutas) na Constituição Federal do Brasil."
41,6,0,,"No entanto, embora sejam fundamentais ao ser humano, eles não são absolutos , podendo transpor o limite entre a harmonia e o desrespeito, entrando, assim, em conflito."
42,6,0,,"Em tempos de mundo conectado pelas mídias sociais, usamos nossos perfis da internet para apresentar, manifestar e traduzir quem somos e o que pensamos, desta maneira nos tornamos pessoas públicas."
43,6,1,Comma separating Subject from predicate; ,"Mas se a liberdade expressão se faz necessária para manutenção de uma personalidade própria, a privacidade preserva esse padrão de individualidade pessoal."
44,6,0,,"O mau uso do direito de se expressar livremente pode gerar injustiças, distorções e manipulação, ferindo o particular do outro, por isso deve ser feita com veracidade e neutralidade."
45,6,1,Missing comma between the 'aposto'; ,"Do contrário, as diferentes manifestações podem virar hostilidades, como foi o caso do jornal Charlie Hebdo, atacado por um grupo extremista islâmico, após divulgar charges satíricas do profeta Maomé."
46,6,0,,Casos como esse comprovam que a liberdade de expressão não pode vir acompanhada do discurso de ódio.
47,6,0,,"Posto que, toda liberdade não pode ultrapassar a liberdade do outro, regulamentar o direito a expressão impediria que esta fosse usada para ofender, discriminar e fomentar intolerâncias, preservando a propriedade mais importante do homem, si mesmo."
48,6,1,Comma separating Subject from predicate; ,"Destarte, estabelecer limites a liberdade de expressão não é censura-la , proibi-la é."
49,7,0,,Existe um conflito entre o direito à liberdade de expressão e o direito à intimidade.
50,7,0,,"Isso acontece principalmente quando os limites não são identificados, porém,  é possível resolver essa questão encontrando um equilíbrio entre esses dois aspectos ."
51,7,1,Missing comma between the 'aposto'; ,"De caráter iluminista, a liberdade de expressão foi defendida veemente pelo filósofo Voltaire."
52,7,0,,Esta consiste no direito do indivíduo de se manifestar livremente.
53,7,0,,"No entanto, existem limites que devem ser considerados quando ocorre a exposição de uma informação, os quais derivam de outros direitos, como o que se refere a inviolabilidade da vida privada."
54,7,0,,"Ou seja, todos têm o direito de se expressarem livremente, desde que o que expressem não viole a intimidade de um outro indivíduo."
55,7,0,,"Dessa forma, há a possibilidade de se gerar um conflito quando esses limites não são bem estabelecidos."
56,7,0,,Uma situação que pode ser usada como exemplo foi a censura que os jornais Folha de S.
57,7,0,,Paulo e O Globo sofreram ao publicarem conversas clonadas do telefone da primeira-dama.
58,7,0,,"O ato de clonar a conversa de alguém viola o direito à intimidade, no entanto, se a informação publicada se refere não somente ao indivíduo, mas também a sociedade, como aconteceu, a liberdade de expressão deve prevalecer pelo bem do coletivo."
59,7,1,Comma separating Subject from predicate; ,"Diante disso, percebe-se que esses dois direitos, por mais que apresentem conflitos, tem como finalidade garantir um equilíbrio."
60,7,0,,"É preciso que o Ministério da Educação inclua no ensino de todas as escolas assuntos relacionados a Constituição Federal, de modo que, os indivíduos sejam formados para compreender situações como essas de forma justa."
61,7,0,,"O Poder Judiciário também deve julgar esses casos de conflito com cautela, nunca privilegiando um indivíduo ou grupo em detrimento de outro."
62,8,0,,É notório que a liberdade de expressão deve ser  livre mais moderada não afetando a intimidade de nenhum cidadão.
63,8,0,,Uma vez que a liberdade de expressão  não é divulgar a vida pessoal de um  individuo e as leis previnem contra tal abuso.
64,8,0,,"Sabe-se que a liberdade de expressão é um meio de se defender  á si e a população contra algo que  esta prejudicando a sociedade, assim não envolvendo a intimidade, pois um ato não envolve o outro."
65,8,0,,"Se expressar é um meio de mostrar sua opinião, mas sem afetar a vida pessoal de outra pessoa, que não deve por hipótese alguma ter que sofrer tal abuso na rede."
66,8,1,Missing comma between the 'aposto'; ,"Alem disso as leis ajudam  á punir  esses abusadores que são chamados de ""hackers"" que invadem informações como  redes-sociais , bate-papos e contatos, expondo informações de total particularidade."
67,8,0,,"Conforme a Constituição Federal de 1988, o  individuo que teve sua intimidade exposta pode receber  indenizações, e informações apagadas, não podendo ser divulgadas e o hacker sendo detido por abuso de informações pessoais."
68,8,0,,"Por tudo isso é importante esclarecer que  a intimidade e a liberdade de expressão devem ser moderadas , pois pequenos detalhes podem prejudicar de imediato a vida social de uma pessoa."
69,8,0,,"Sabendo  disso a mídia não deve expor tantas intimidades, a sociedade deve acusar menos e a família ajudar a essa pessoa passar por tal crise em sua vida."
70,8,1,Missing comma between the 'aposto'; ,"Pois como se diz o filosofo Paulo Freire ""Não é saber mais ou saber menos. Há saberes diferentes""."
71,9,1,Comma separating Subject from predicate; ,"A liberdade de expressão é um direito constitucional que não pode ser censurado, mas tal direito não dá liberdade para a violação da intimidade, que também é um direito previsto na constituição, o meio pelo qual essa informação é obtida também é algo para ser levado em consideração."
72,9,1,Comma separating Subject from predicate; ,"A quebra de sigilo para coleta de informações pessoais, somente deverá ser realizada via mandado judicial."
73,9,0,,"Qualquer informação coletada de modo ilegal não poderá ser usada em processo jurídico e o cidadão que sofrer essa invasão de privacidade tem direito de recorrer a justiça para que o conteúdo não seja divulgado e caso,  tal informação torne-se pública, ele tem direito a danos morais e o responsável pela divulgação responderá a um processo, caso a pessoa prejudicada entre na justiça ."
74,9,1,Comma separating Subject from predicate; ,"No que diz respeito a liberdade de expressão, todos têm o direito de expor suas ideias."
75,9,0,,"Mas, não se deve fazer uma interpretação equivocada da lei, onde cada cidadão pode expressar-se de forma pessoal sobre qualquer atividade, mas sem violar a intimidade de outra pessoa."
76,9,0,,"Deve ser assegurado , principalmente, a não violação da intimidade, uma vez que, informações de teor pessoal pode agredir a imagem e a honra do envolvido."
77,9,0,,"Certamente, devemos levar em consideração que o direito de expressar-se livremente,  não pode ultrapassar o direito de ter sua intimidade resguardada e que toda informação de conteúdo pessoal, só poderá ser divulgada com consentimento do envolvido."
78,10,0,,É notório que os direitos em conflitos devem ser separados para que haja um maior entendimento sobre o assunto.
79,10,1,Comma separating Subject from predicate; ,"A liberdade de expressão, é um direito o qual não pode haver repressão."
80,10,0,,Já a intimidade é um direito individual o qual merece punição quando violado.
81,10,0,,"Há de se compreender que a liberdade de expressão é um direito o qual não pode haver repressão segundo o artigo 5º da constituição brasileira de 1988, pois todos são iguais perante a lei, quando violado, deve existir de forma clara uma punição."
82,10,0,,"Quanto aos veiculos de comunicação , deve ser seguido a mesma lei que é aplicada aos cidadãos, pelo fato de estar implantando uma opinião."
83,10,0,,"Da mesma forma, a intimidade deve ser respeitada de forma individual, quando violado , é merecimento de punição."
84,10,0,,"Por conseguinte, pode-se afirmar que os direitos como a liberdade de expressão e a intimidade devem ser seguidos de forma prevista na constituição ."
85,11,0,,Estamos dentro de um país em que devemos procurar nossos direitos e exercer nossos deveres.
86,11,1,Missing comma between the 'aposto'; ,"Ninguém está acima da lei, nem mesmo o presidente da república , prova disso foi a destituição de Dilma Rousseff do mais alto cargo político do Brasil."
87,11,0,,Mas será mesmo que isso ocorre sempre?
88,11,0,,Será que a lei é sempre aplicada igualmente em nosso país?
89,11,0,,Os jornais nos prestam relevantes serviços ao noticiar fatos que acontecem ao nosso redor.
90,11,0,,"Desde o mais pobres aos mais ricos, todos estão sujeitos a serem expostos em capas de jornais, a constituição garante a liberdade de expressão e a não censura."
91,11,0,,"No entanto, em outro artigo ela garante a preservação da intimidade e a vida privada das pessoas, assegurando o direito á indenização por danos morais e/ou materiais decorrente de sua violação."
92,11,0,,"Em meio ao conflito de direitos entre liberdade de expressão e intimidade, o que há de prevalecer?"
93,11,0,,"Ora, obviamente a liberdade de expressão, tendo em vista que ela nos faz manter informados e nos faz prevenir sobre tal pessoa ou fato."
94,11,0,,"Não deve haver influência, tendo em vista que somos iguais perante a lei."
95,11,0,,"Por fim, seria fundamental uma reestruturação da atual constituição que nos faz cair em desavenças, uma nova constituição com regras mais claras e objetivas."
96,11,0,,É preciso também não privilegiar alguns por terem mais dinheiro ou poder.
97,12,0,,A Constituição Federal brasileira é o livro de leis que contém os direitos e deveres de cada indivíduo dentro deste país.
98,12,0,,"Ela foi redigida com base em princípios de liberdade e igualdade, com poderes de proteger o cidadão contra injustiças que prejudicam a sua rotina diária."
99,12,0,,"Um dos fundamentos que esse conjunto de leis defende é o da liberdade de expressão, que fornece a base para a democracia."
100,12,0,,"Outro, é o da privacidade, que preserva o individualismo e a intimidade ."
101,12,0,,"Em alguns casos, tais decretos se contrariam ."
102,12,0,,"Momentos como este geram controvérsias e discussões, sem haver na verdade, um lado incorreto, pois ambos se baseiam na Constituição."
103,12,0,,"Nestes julgamentos, deve se colocar na balança as consequências e impactos de cada passo em defender um ou outro."
104,12,1,Missing comma between the 'aposto'; ,"Podemos citar a polêmica recente da primeira-dama Marcela , que proibiu a publicação de reportagens sobre áudios gravados de uma de suas conversas."
105,12,1,Comma separating Subject from predicate; ,"Neste caso foi dado ênfase ao direito de privacidade, entretanto, por trás de uma violação à sua intimidade, pode haver crimes muito maiores, como a corrupção."
106,12,0,,O julgamento deve acontecer levando em conta muito mais do que apenas a infração em si.
107,12,0,,"Para eliminar dúvidas dessa natureza, vertentes de cada um desses tópicos deveriam ser feitas pelo Legislativo,  especificando quando um ou outro deve ser utilizado, mas lógico, sempre mantendo a liberdade individual intacta."
108,13,0,,A liberdade e privacidade na vida é um princípio básico e muito bem desejo em nosso cotidiano.
109,13,0,,"A prinmeira dama exigiu a sua privacidade pelo fato de não querer se expor em redes sócias , em assuntos que não a deixava a vontade."
110,13,0,,"e preferindo assim, fazendo que tirassem para que, se sentisse tranquila em seu dia-a-dia."
111,13,0,,"Entretanto, muitos a criticaram em fato que poderiam haver coisas explicitas que muitos teriam duvidas sobre sua vida e de seu marido, para que, assim desvendasse aquilo que muitos almejam."
112,13,0,,"Porém, o indivíduo usou isso de uma forma errônea, porque todos nos temos direitos de liberdade e isso foi uma invasão de privacidade."
113,13,0,,"Contudo, o jornal quis aproveitar a situação e pegar carrona na noticia , mas não percebendo a desagradavel situação."
114,14,0,,A liberdade de expressão:  é um direito de se expressar sem qualquer censura.
115,14,0,,"Porém, tem que se ter o devido cuidado, para não entrar em conflito com o direito à privacidade, direito esse, que protege as pessoas de terem suas intimidades expostas."
116,14,1,Comma separating Subject from predicate; ,"O direito à liberdade de expressão, é protegido pela Declaração Universal dos Direitos Humanos, de 1948, segundo o artigo XIX: ""Todo ser humano tem direito à liberdade de opinião e expressão; este direito inclui a liberdade de, sem interferência, ter opiniões e de procurar, receber e transmitir informações e ideias por quaisquer meios e independentemente de fronteiras""."
117,14,0,,"É um direito importante, para qualquer país democrático, e deve ser respeitado."
118,14,0,,"Mas o direito à ter sua privacidade respeita,  deve prevalecer, pois, tem prioridade em nossa Constituição Federal de 1988: X – ""são invioláveis a intimidade, a vida privada, a honra e a imagem das pessoas, assegurado o direito a indenização pelo dano material ou moral decorrente de sua violação""."
119,14,1,Comma separating Subject from predicate; ,"Diante do exposto, conclui-se que, tanto o direito á liberdade de expressão, quanto o direito à privacidade, tem como objetivo, protege as pessoas, ambos podem e devem ser respeitado, cabe os meios de comunicação se policiarem, para não serem invasivos."
120,15,1,Missing comma between the 'aposto'; ,O sociólogo Zygmunt Bauman afirma que vivemos em um mundo pós moderno onde as relações sociais estão cada dia mais complexas e ramificadas.
121,15,0,,"O Direito, tendo como uma das suas principais fontes a opinião pública, é a ciência social que tenta harmonizar tais relações."
122,15,0,,"Todavia, muitas vezes há conflitos entre aquilo que tal ciência impõe como é no caso a questão da liberdade de expressão e a intimidade."
123,15,0,,Em primeiro momento é valido ressaltar que a intimidade é algo relativo e pessoal.
124,15,0,,Não é possível usar estatísticas para saber até qual ponto a intimidade do outro esta sendo tangenciada.
125,15,0,,"Um dos principais problemas do Direito enquanto ciência é que, ao contrário da Matemática e da Química, ele se configura como uma ciência humana."
126,15,0,,"Sendo assim, a margem de erro pode, por muitas vezes, ser sentida de uma forma mais intensa por algumas pessoas do que por outras e daí que se vem o relativismo a respeito da intimidade."
127,15,0,,"Em segundo momento podemos salientar que ao contrário da intimidade, a liberdade de expressão pode ser mensurada através de exemplos práticos."
128,15,0,,Dessa forma ela pode ser mais fácil de seranalisada quando se pensa em um problema social.
129,15,0,,Satre afirma que somos condenados á liberdade.
130,15,0,,"Sendo assim, quando utilizamos algo que já nos convém como base para criar normas e regras, isso auxilia o direito á alcançáveis estabilidades jurídicas e, portando , redireciona a condutas éticas não só possíveis de ser estabelecidas, mas também cumpridas."
131,15,1,Missing comma between the 'aposto'; ,"Portanto, o conflito entre a liberdade de expressão e intimidade deve começar a ser solucionado através de uma análise a respeito de qual delas é mais possível de ser utilizadas como um ""fato gerador"" do Direito."
132,15,0,,"Dessa forma, leis seriam criadas e, paulatinamente, melhoras em prol da harmonia social."
133,16,0,,A Constituição Federal brasileira assegura aos cidadãos direito à informação a partir de diferentes e variadas fontes que garanta as liberdades de expressão e de imprensa.
134,16,0,,"Também assegura que tudo que for relacionado a vida privada, intimidade, honra e imagem só dizem respeito a pessoa ou a quem ela autorizar."
135,16,0,,"Porém, o que fazer quando esses direitos entram em conflito?"
136,16,0,,"Quando há conflito entre direitos como o de a liberdade de expressão e a inviolabilidade da intimidade do cidadão, é necessário analisar cada caso com muita cautela, para que não se cometa nenhuma injustiça."
137,16,0,,"No entanto, sempre que for possível, a justiça deve prevalecer à liberdade de expressão sobre o direito à privacidade, pois o Brasil é um país democrático, onde todos os cidadãos tem direito de expor suas opiniões e também serem informados sem manipulações e censuras, para que assim a população tenha informações suficientes para tirarem suas próprias conclusões."
138,16,0,,"Contudo, a liberdade de expressão nem sempre prepondera."
139,16,0,,"Entre tantos exemplos tem-se de um ex-presidiário que entrou com uma liminar para impedir que um programa de televisão local transmitisse um documentário sobre o crime que ele cometera, o pedido foi negado, porém o ex-detento recorreu ao tribunal alegando que o documentário prejudicaria a sua ressocialização."
140,16,0,,"Assim, ele conseguiu um acordo: a história do crime seria contada porém, seu nome e sua imagem não apareceriam no vídeo."
141,16,0,,"Nesse caso, o direito de intimidade prevaleceu ao de liberdade de expressão, mesmo sendo um caso público, pois a exposição que ele sofreria iria prejudicá-lo ainda mais na sua reintegração."
142,16,0,,"É necessário frisar, por outro lado que muitas pessoas cometem equívocos em nome da liberdade de expressão, como os nordestinos que são frequentemente satirizados em piadas de mau gosto por comediantes."
143,16,0,,"Todos têm direito e liberdade de manifestar suas ideias e pensamentos, mas é necessário agir com ética, bom senso e respeito para com o próximo, para que não ocorra ofensas e desentendimentos."
144,16,1,Comma separating Subject from predicate; ,"Diante disso, a liberdade de expressão tem limites, por isso é necessário que cada indivíduo exteriorize sua ideias e opiniões com prudência e sensatez para não violar a intimidade do outro."
145,16,0,,"Assim, quando houver conflito entre os direitos a justiça deve, sempre que for concebível , preferir a liberdade de expressão para que essa não seja censurada, visto que em um país democrático como o Brasil ela é fundamental, por isso deve ser valorizada sempre."
146,17,0,,"Analisando todo um conjunto de fatos importantes que aconteceram no Brasil, é importante destacar que o direito à liberdade da imprensa foi conquistado com luta, após os tempos de ditadura militar e ao observarmos atitudes que cerceiam esse direito tão importante nos causa um certo temor de voltar a tempos onde não se podia publicar nada que não fosse favorável a quem detém o poder, e isso é péssimo para tempos onde se fala tanto em democracia e direitos adquiridos."
147,17,0,,"Existe um fato que é inegável,  o direito privado da pessoa."
148,17,0,,"E esse claro deve ser garantido a todo custo, sem dúvidas, mesmo quando esta pessoa tem uma vida de caráter público, pois sua vida pessoal ainda possui um aspecto privado e este garantido por lei na constituição , é assegurado."
149,17,1,Comma separating Subject from predicate; ,"O que se discute é o contexto como as coisas acontecem, aspectos de caráter privado que estão sob sigilo devem ser mantidos assim, e isso é inquestionável, imagina se conversas entre parentes, os problemas familiares, as conversas com psicólogos e tudo isso fosse divulgado nas redes sociais e nos diversos jornais, a vida privada acabaria e todas as pessoas seriam livros de capa aberta, por isso é importante ter limites as publicações ."
150,17,0,,"Agora situações de origem pública como processos estão longe de ficar somente em caráter privado é algo que qualquer advogado tem acesso e vetar esse tipo de publicação começa a remeter acontecimentos muito parecidos com a ditadura, onde só veiculavam informações de caráter pré-aprovado e isso é muito mal, independente da pessoa que seja veiculada essas informações."
151,17,0,,"O bom senso é algo que perdemos nessa sociedade contemporânea e imediatista, tanto para um lado dos que veiculam a informação tanto para os que têm o poder de regular essas informações, as vezes causa-se um mal estar desnecessário de ambos os lados por não conhecerem seus limites e aí é um dever da justiça barrar."
152,18,1,Comma separating Subject from predicate; ,"A constituição de 1988, nos garante liberdade de expressão, ao mesmo tempo inválida à vida privada."
153,18,1,Missing comma between the 'aposto'; ,"Esse conflito de direitos pôde ser percebido com o caso da primeira-dama Marcela Temer e, se tornou uma premissa a ser discutida."
154,18,1,Comma separating Subject from predicate; ,"Após ter sido divulgada pela impressa a conversa de Marcela Temer, essas informações foram censuradas por ordem do juiz."
155,18,1,Missing comma between the 'aposto'; ,"Essa contradição de valores se conflitua simplesmente por serem muito soltas dentro do espaço constitucional, ou seja, não existem um ""teto"" para esses direitos conforme existem para tanto outros; liberdade religiosa, política que embora entendidas como ""liberdade"" são submetidos à certas restrições, pois a liberdade de um termina, quando se inicia a do outro o mesmo se aplica à inviolabilidade da vida privada, a menos que se tenha ""sujeira debaixo do tapete""."
156,18,0,,"Mediante o exposto, os legisladores devem reformular esses direitos, estabelecendo limites, para que eles não se conflitue e se contradigam, assim como também se deve esclarecer esses limites nas escolas, como sendo uma das instituições fundamentais da sociedade, é juntamente com a comunidade, tornando a mais conciente de seus direitos e limites deles, pois ""nossos esforços conjuntos desafiam as impossibilidades"" - Charles Chaplin."
157,19,0,,Os meios de comunicação avançaram de maneira significativa.
158,19,0,,Obtêm uma gama de acesso a informação e pelo mesmo trajeto atravessam as intimidades dos envolvidos.
159,19,1,Missing comma between the 'aposto'; ,"Foi o ocorrido, com a primeira-dama Marcela Temer, que teve o telefone clonado, e a repercussão das matérias dos jornais Folha de S."
160,19,0,,"Paulo e O Globo, que tiveram impasse para serem publicadas devido ao código do direito civil."
161,19,0,,"Conquanto os jornais devessem respeitar a imagem da primeira-dama, por outro lado, não pode ser absorvido, que, a liberdade de imprensa, foi atropelada."
162,19,0,,"Em vista disso, observa-se a blindagem do presidente da República, desconsiderando um direito da mídia de usufruir da liberdade, a fim dele ter vantagem no caso em questão, embora sendo um representante público."
163,19,0,,"Professora de direito constitucional da USP, Monica Herman Salem Coggiano, retratou o conflito entre a privacidade e a liberdade de expressão: ""A reportagem se baseia em informações públicas, que não podem ser ignoradas. O direito de informar deve ser privilegiado""."
164,19,0,,"Portanto, proteger a imprensa é o mais adequado."
165,19,0,,"Quanto à intimidade das pessoas, publicações desse gênero precisam ponderar na profundidade de seu conteúdo."
166,19,0,,"Desta forma, para atenuar esse conflito, uma nova lei, abordando tema o limite da exposição da mídia, deve acrescentar para a constituição brasileira, a qual possui semelhante artigo mas entrado na sociedade em contexto diferente, mostrando estar defasada."
167,19,0,,"Na reforma dessa lei, haveria a exceção apenas para casos de interesse público, como a investigação de um réu, mas penalizaria duramente a quem que contribua informações constrangedoras de uma pessoa."
168,19,0,,"Assim, colaborando de fato para a qualidade e a liberdade da mídia no país."
169,20,0,,Sócrates dava ênfase a ideia de que a felicidade só podia ser conquistada por meio da virtude.
170,20,0,,"Além disso, embarcava na afirmativa de que é preferível sofrer uma injustiça à vir cometer uma."
171,20,0,,Uma pessoa que tem virtudes acesas na personalidade seguiria o exemplo do filósofo por ter consciência de que a verdade sempre prevalece.
172,20,0,,Mas não é o que vemos por acontecendo .
