essay|error|message|frase
3|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Porém, vale lembrar que certas pessoas estão sempre expostas a críticas, principalmente quando se trata da vida de uma pessoa pública, como por exemplo o presidente da República, e é imprescindível ressaltar que o cotidiano de alguém de tamanha importância, diz sim, respeito aos brasileiros, e neste caso,  a imprensa não deve se omitir de forma alguma a manter o povo bem informado, ainda mais se o assunto em questão também for público
4|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|A liberdade de expressão e o direito a vida privada tem gerado um considerável conflito, essa problemática advém após jornais sofrerem uma censura por postar informações intimas sobre a vida do presidente da republica Michel temer e a primeira-dama Marcela temer 
4|xml:4|Não acontece crase antes de verbo.|Sendo assim, todo conteúdo tendencioso à ferir a celeridade das garantias constitucionais ou a liberdade de terceiros faz-se necessário passar por uma rigorosa analise para evitar decisões conflitantes entre normas fundamentais
5|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|É sabido que a constituição brasileira deixa margens claras para segundas interpretações acerca da lei,  ainda que um direito seja previsto e garantido não basta apenas aplicá-lo, é necessário utilizar-se do bom senso – uma vez que, devido a tais falhas nos dispositivos legais, o direito de terceiro também pode ser afetado
6|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| No entanto, embora sejam fundamentais ao ser humano, eles não são absolutos , podendo transpor o limite entre a harmonia e o desrespeito, entrando, assim, em conflito
6|xml:118|Verificou-se erro de concordância entre o sujeito e o verbo.| Casos como esse comprovam que a liberdade de expressão não pode vir acompanhada do discurso de ódio
6|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|  Destarte, estabelecer limites a liberdade de expressão não é censura-la , proibi-la é
7|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Isso acontece principalmente quando os limites não são identificados, porém,  é possível resolver essa questão encontrando um equilíbrio entre esses dois aspectos 
7|xml:124|O adjetivo na função de predicativo concorda com o sujeito.| Uma situação que pode ser usada como exemplo foi a censura que os jornais Folha de S
8|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|É notório que a liberdade de expressão deve ser  livre mais moderada não afetando a intimidade de nenhum cidadão
8|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|  Uma vez que a liberdade de expressão  não é divulgar a vida pessoal de um  individuo e as leis previnem contra tal abuso
8|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|  Uma vez que a liberdade de expressão  não é divulgar a vida pessoal de um  individuo e as leis previnem contra tal abuso
8|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Sabe-se que a liberdade de expressão é um meio de se defender  á si e a população contra algo que  esta prejudicando a sociedade, assim não envolvendo a intimidade, pois um ato não envolve o outro
8|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Sabe-se que a liberdade de expressão é um meio de se defender  á si e a população contra algo que  esta prejudicando a sociedade, assim não envolvendo a intimidade, pois um ato não envolve o outro
8|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|"Alem disso as leis ajudam  á punir  esses abusadores que são chamados de ""hackers"" que invadem informações como  redes-sociais , bate-papos e contatos, expondo informações de total particularidade"
8|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|"Alem disso as leis ajudam  á punir  esses abusadores que são chamados de ""hackers"" que invadem informações como  redes-sociais , bate-papos e contatos, expondo informações de total particularidade"
8|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|"Alem disso as leis ajudam  á punir  esses abusadores que são chamados de ""hackers"" que invadem informações como  redes-sociais , bate-papos e contatos, expondo informações de total particularidade"
8|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|"Alem disso as leis ajudam  á punir  esses abusadores que são chamados de ""hackers"" que invadem informações como  redes-sociais , bate-papos e contatos, expondo informações de total particularidade"
8|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Conforme a Constituição Federal de 1988, o  individuo que teve sua intimidade exposta pode receber  indenizações, e informações apagadas, não podendo ser divulgadas e o hacker sendo detido por abuso de informações pessoais
8|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Conforme a Constituição Federal de 1988, o  individuo que teve sua intimidade exposta pode receber  indenizações, e informações apagadas, não podendo ser divulgadas e o hacker sendo detido por abuso de informações pessoais
8|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Por tudo isso é importante esclarecer que  a intimidade e a liberdade de expressão devem ser moderadas , pois pequenos detalhes podem prejudicar de imediato a vida social de uma pessoa
8|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Por tudo isso é importante esclarecer que  a intimidade e a liberdade de expressão devem ser moderadas , pois pequenos detalhes podem prejudicar de imediato a vida social de uma pessoa
8|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Sabendo  disso a mídia não deve expor tantas intimidades, a sociedade deve acusar menos e a família ajudar a essa pessoa passar por tal crise em sua vida
9|xml:124|O adjetivo na função de predicativo concorda com o sujeito.|A liberdade de expressão é um direito constitucional que não pode ser censurado, mas tal direito não dá liberdade para a violação da intimidade, que também é um direito previsto na constituição, o meio pelo qual essa informação é obtida também é algo para ser levado em consideração
9|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Qualquer informação coletada de modo ilegal não poderá ser usada em processo jurídico e o cidadão que sofrer essa invasão de privacidade tem direito de recorrer a justiça para que o conteúdo não seja divulgado e caso,  tal informação torne-se pública, ele tem direito a danos morais e o responsável pela divulgação responderá a um processo, caso a pessoa prejudicada entre na justiça 
9|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|  Deve ser assegurado , principalmente, a não violação da intimidade, uma vez que, informações de teor pessoal pode agredir a imagem e a honra do envolvido
9|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Certamente, devemos levar em consideração que o direito de expressar-se livremente,  não pode ultrapassar o direito de ter sua intimidade resguardada e que toda informação de conteúdo pessoal, só poderá ser divulgada com consentimento do envolvido
10|xml:124|O adjetivo na função de predicativo concorda com o sujeito.| Já a intimidade é um direito individual o qual merece punição quando violado
10|xml:124|O adjetivo na função de predicativo concorda com o sujeito.|Há de se compreender que a liberdade de expressão é um direito o qual não pode haver repressão segundo o artigo 5º da constituição brasileira de 1988, pois todos são iguais perante a lei, quando violado, deve existir de forma clara uma punição
10|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Quanto aos veiculos de comunicação , deve ser seguido a mesma lei que é aplicada aos cidadãos, pelo fato de estar implantando uma opinião
10|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Da mesma forma, a intimidade deve ser respeitada de forma individual, quando violado , é merecimento de punição
11|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|  Ninguém está acima da lei, nem mesmo o presidente da república , prova disso foi a destituição de Dilma Rousseff do mais alto cargo político do Brasil
11|xml:17|O adjetivo concorda com o substantivo a que se refere.| No entanto, em outro artigo ela garante a preservação da intimidade e a vida privada das pessoas, assegurando o direito á indenização por danos morais e/ou materiais decorrente de sua violação
11|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|Em meio ao conflito de direitos entre liberdade de expressão e intimidade, o que há de prevalecer? Ora, obviamente a liberdade de expressão, tendo em vista que ela nos faz manter informados e nos faz prevenir sobre tal pessoa ou fato
11|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|Por fim, seria fundamental uma reestruturação da atual constituição que nos faz cair em desavenças, uma nova constituição com regras mais claras e objetivas
12|xml:118|Verificou-se erro de concordância entre o sujeito e o verbo.|Momentos como este geram controvérsias e discussões, sem haver na verdade, um lado incorreto, pois ambos se baseiam na Constituição
12|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Podemos citar a polêmica recente da primeira-dama Marcela , que proibiu a publicação de reportagens sobre áudios gravados de uma de suas conversas
12|xml:121|Verifique o excesso de verbos em sequência.|O julgamento deve acontecer levando em conta muito mais do que apenas a infração em si
12|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|  Para eliminar dúvidas dessa natureza, vertentes de cada um desses tópicos deveriam ser feitas pelo Legislativo,  especificando quando um ou outro deve ser utilizado, mas lógico, sempre mantendo a liberdade individual intacta
13|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|A prinmeira dama exigiu a sua privacidade pelo fato de não querer se expor em redes sócias , em assuntos que não a deixava a vontade
13|xml:51|"""Haver"" (existir), precedido de verbo aux., é usado na 3a. do singular."|Entretanto, muitos a criticaram em fato que poderiam haver coisas explicitas que muitos teriam duvidas sobre sua vida e de seu marido, para que, assim desvendasse aquilo que muitos almejam
13|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Contudo, o jornal quis aproveitar a situação e pegar carrona na noticia , mas não percebendo a desagradavel situação
14|xml:4|Não acontece crase antes de verbo.|" Mas o direito à ter sua privacidade respeita,  deve prevalecer, pois, tem prioridade em nossa Constituição Federal de 1988: X – ""são invioláveis a intimidade, a vida privada, a honra e a imagem das pessoas, assegurado o direito a indenização pelo dano material ou moral decorrente de sua violação"""
14|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|" Mas o direito à ter sua privacidade respeita,  deve prevalecer, pois, tem prioridade em nossa Constituição Federal de 1988: X – ""são invioláveis a intimidade, a vida privada, a honra e a imagem das pessoas, assegurado o direito a indenização pelo dano material ou moral decorrente de sua violação"""
15|xml:124|O adjetivo na função de predicativo concorda com o sujeito.|O sociólogo Zygmunt Bauman afirma que vivemos em um mundo pós moderno onde as relações sociais estão cada dia mais complexas e ramificadas
15|xml:124|O adjetivo na função de predicativo concorda com o sujeito.|Em primeiro momento é valido ressaltar que a intimidade é algo relativo e pessoal
15|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Sendo assim, quando utilizamos algo que já nos convém como base para criar normas e regras, isso auxilia o direito á alcançáveis estabilidades jurídicas e, portando , redireciona a condutas éticas não só possíveis de ser estabelecidas, mas também cumpridas
15|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|"Portanto, o conflito entre a liberdade de expressão e intimidade deve começar a ser solucionado através de uma análise a respeito de qual delas é mais possível de ser utilizadas como um ""fato gerador"" do Direito"
16|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.| No entanto, sempre que for possível, a justiça deve prevalecer à liberdade de expressão sobre o direito à privacidade, pois o Brasil é um país democrático, onde todos os cidadãos tem direito de expor suas opiniões e também serem informados sem manipulações e censuras, para que assim a população tenha informações suficientes para tirarem suas próprias conclusões
16|xml:114|Os determinantes concordam com o substantivo a que se referem.|Diante disso, a liberdade de expressão tem limites, por isso é necessário que cada indivíduo exteriorize sua ideias e opiniões com prudência e sensatez para não violar a intimidade do outro
16|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Assim, quando houver conflito entre os direitos a justiça deve, sempre que for concebível , preferir a liberdade de expressão para que essa não seja censurada, visto que em um país democrático como o Brasil ela é fundamental, por isso deve ser valorizada sempre
17|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|Analisando todo um conjunto de fatos importantes que aconteceram no Brasil, é importante destacar que o direito à liberdade da imprensa foi conquistado com luta, após os tempos de ditadura militar e ao observarmos atitudes que cerceiam esse direito tão importante nos causa um certo temor de voltar a tempos onde não se podia publicar nada que não fosse favorável a quem detém o poder, e isso é péssimo para tempos onde se fala tanto em democracia e direitos adquiridos
17|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Existe um fato que é inegável,  o direito privado da pessoa
17|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| E esse claro deve ser garantido a todo custo, sem dúvidas, mesmo quando esta pessoa tem uma vida de caráter público, pois sua vida pessoal ainda possui um aspecto privado e este garantido por lei na constituição , é assegurado
17|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|O bom senso é algo que perdemos nessa sociedade contemporânea e imediatista, tanto para um lado dos que veiculam a informação tanto para os que têm o poder de regular essas informações, as vezes causa-se um mal estar desnecessário de ambos os lados por não conhecerem seus limites e aí é um dever da justiça barrar
18|xml:95|Os artigos concordam com o substantivo a que se referem.|A constituição de 1988, nos garante liberdade de expressão, ao mesmo tempo inválida à vida privada
19|xml:84|"Alguns nomes regem a preposição ""a"", logo há crase aqui."| Obtêm uma gama de acesso a informação e pelo mesmo trajeto atravessam as intimidades dos envolvidos
19|xml:96|"Os verbos ""evitar"" e ""usufruir"" não regem preposição ""de""."|Em vista disso, observa-se a blindagem do presidente da República, desconsiderando um direito da mídia de usufruir da liberdade, a fim dele ter vantagem no caso em questão, embora sendo um representante público
20|xml:4|Não acontece crase antes de verbo.| Além disso, embarcava na afirmativa de que é preferível sofrer uma injustiça à vir cometer uma
21|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|"Este ato de injustiça na antiguidade, só nos mostra que a injustiça sempre esteve presente dentro dos seres humanos, e nos traz o questionamento: ""É preferível praticar ou sofrer uma injustiça?"""
21|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Existem os Justiceiros , que são pessoas que fazem justiça com as próprias mãos, que leva no caso a violência, quando uma pessoa pratica uma injustiça, além de estar corrompendo seu caráter, ela provoca em outras pessoas o mesmo sentindo de estar sendo injustiçado, o que provoca muitas vezes, muita violência
22|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Infelizmente algumas pessoas não se preocupam em relação ao que o outro sente e então acusam, prejudicam, e querem se beneficiar diante do sofrimento dos outros, e continuam cometendo maldade até que alguma consequência ruim aconteça com eles ou quando se arrependem e são punidosPorém, nem todos que cometem injustiças sentem culpa, bem como quem sofre injustiça por vezes sente-se envergonhado,  e se culpa pois não conseguiu impedir de ser injustiçado, mas pelo menos não fica com o peso na consciência por prejudicar alguém
24|xml:114|Os determinantes concordam com o substantivo a que se referem.| Tal fato afeta a pessoas inocentes, aumentando mais ainda o preconceito e as desigualdades sociais
24|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|  Mesmo sendo pessoas religiosas, ainda assim preferimos pratica-la , pois um dos maiores medos dos seres humanos é ser enganado
25|xml:124|O adjetivo na função de predicativo concorda com o sujeito.|" Um bom exemplo disso é a injustiça que o povo brasileiro sofre nas mãos dos políticos sem escrúpulos, que desviam dinheiro público,como se já não bastasse o altíssimo salário que eles recebem, verbas que seriam destinadas às escolas e hospitais do país, ""engordam"" ainda mais as suas contas bancárias, enquanto milhares de cidadãos vivem na extrema miséria"
26|xml:13|"""Devido"" rege a preposição ""a"", logo há crase aqui."|E isso, devido a questão de que nenhum conflito é mais danoso que o conflito consigo mesmo
26|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Ademais, com tais aspectos , casos de depressão profunda podem se manifestar com facilidade
26|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Sendo assim, evidencia-se a escolha do sujeito em ser injustiçado a cometer o mesmo Pois, devemos nos animar por ter de suportar a injustiça, já que a verdadeira desgraça está em comete-la , pensamento do filósofo Pitágoras acerca do ato de injustiça 
27|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Sabe-se que a sociedade atual parece não existir pessoas que se importa com o próximo,  esquecendo-se que o seu direito termina quando o do outro começa, cada um busca o seu próprio interesse, sem pensar que muita das vezes está sendo injusto com o próximo
27|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Pode-se notar essa injustiça em nosso dia a dia continuamente , quando é negado o direito preferencial á um idoso ou gestante na fila de um banco, quando ocupa a vaga de um deficiente no estacionamento
27|xml:103|Os artigos concordam com o substantivo a que se referem.|Embora, cada um tem que fazer sua parte cumprindo as leis e pensar no próximo, se colocar no lugar do outro, só assim poderá pensar duas vezes antes de cometer uma injustiça, assim poderá ter um pais com mais igualdade onde todos poderão ter o seu lugar no mundo
28|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Pessoas hoje em dia já não ficam apreensiva em fazer mal a outras,  Sócrates afirma que jamais faria uma injustiça com alguém
29|xml:124|O adjetivo na função de predicativo concorda com o sujeito.|Fica evidente, portanto o quanto o injusto é a iniquidade em pessoa e as consequências que oferece a sociedade, faz-se necessário que o ministério da educação proporcione aulas de justiça social para alunos como matérias inclusivas
31|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Em virtude do exposto temos por conclusão que as injustiças estão impregnadas na civilização desde seus primórdios e revelam um ciclo vicioso de sofrer injustiças e pratica-las , onde apenas uma transcendência cultural seria capaz de por fim a este fenômeno
32|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Tal raciocínio ocorre, uma vez que , no Estado Democrático de Direito quem sofre algum dano tem a possibilidade de recorrer ao Poder Judiciário para que ocorra a devida reparação
32|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Entende-se com isso que em caso de injustiça , a pessoa deve procurar o Órgão judiciário competente para que ocorra a reparação do dano e as devidas sanções cabíveis ao agressor
32|xml:124|O adjetivo na função de predicativo concorda com o sujeito.|O segundo fator para reflexão da questão é a existência de instituições fortes e independentes como: o Ministério Público, a Polícia Judiciária e a Defensoria Pública
33|xml:118|Verificou-se erro de concordância entre o sujeito e o verbo.| Em todas as culturas, a questão de sermos justos eram levantadas, caso praticassem algo que pela era considerado injusto eramos julgados pelos nossos atos ignóbil 
33|xml:17|O adjetivo concorda com o substantivo a que se refere.| Em todas as culturas, a questão de sermos justos eram levantadas, caso praticassem algo que pela era considerado injusto eramos julgados pelos nossos atos ignóbil 
33|xml:105|Os artigos concordam com o substantivo a que se referem.|" Então o que seria a justiça? algo que nos disciplinas e nós torna mais justo ?Como a pergunta de Polo à Sócrates ""Preferirias sofrer uma injustiça, ao invés de prática-la?""  a sociedade, hoje em dia, com toda certeza responderia, prática-la "
33|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|" Então o que seria a justiça? algo que nos disciplinas e nós torna mais justo ?Como a pergunta de Polo à Sócrates ""Preferirias sofrer uma injustiça, ao invés de prática-la?""  a sociedade, hoje em dia, com toda certeza responderia, prática-la "
33|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|" Então o que seria a justiça? algo que nos disciplinas e nós torna mais justo ?Como a pergunta de Polo à Sócrates ""Preferirias sofrer uma injustiça, ao invés de prática-la?""  a sociedade, hoje em dia, com toda certeza responderia, prática-la "
33|xml:128|O adjetivo na função de predicativo concorda com o verbo.|O costume de sermos injusto nós faz termos alto-piedade,em em vez de praticarmos a verdadeira justiça, não fazemos e julgamos as pessoas que não a fazem, e esse ato nos torna hipócrita , e a nossa grande verdade é se liberta de um mal maior quando praticamos algo errado, isso porque a justiça é uma cura moral
33|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|O costume de sermos injusto nós faz termos alto-piedade,em em vez de praticarmos a verdadeira justiça, não fazemos e julgamos as pessoas que não a fazem, e esse ato nos torna hipócrita , e a nossa grande verdade é se liberta de um mal maior quando praticamos algo errado, isso porque a justiça é uma cura moral
34|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|Ser injustiçado pode ocorrer a qualquer momento como nas entrevistas de emprego, porque muitas empresas não tem a Cultura da meritocracia e acaba com que os novos funcionários entram pelo famoso quem indica
34|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|Portanto sou a favor da meritocracia, no ambiente do ensino superior e principalmente nos cursos de administração e de RH, os professores devem falar da importância da meritocracia e os malefícios do quem indica
35|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Sócrates um filosofo que venerava muito o termo virtude , a realização de algo bom para sentir o prazer, considerado felicidade, pois preferia sofrer uma opressão , do que comete-la à alguém, já que, acreditava que o bem feito tornava o homem em um ser melhor
35|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Sócrates um filosofo que venerava muito o termo virtude , a realização de algo bom para sentir o prazer, considerado felicidade, pois preferia sofrer uma opressão , do que comete-la à alguém, já que, acreditava que o bem feito tornava o homem em um ser melhor
35|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|Fazer o bem,  será que o governo tem feito o bem para o povo brasileiro? A sociedade vem sendo oprimida pelos governantes do país, sendo que todos os brasileiros, depositaram votos de confiança nos políticos eleitos
35|xml:124|O adjetivo na função de predicativo concorda com o sujeito.| A maioria dos estadistas, são hábeis na engenharia social, sabendo que a população mais humilde são alvos fáceis para suas mentiras, prometendo o necessário para uma condição de vida melhor para o Brasil, sendo que estão apenas com intenções maliciosas, que é roubar o dinheiro publico 
36|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Desde a Antiguidade  Clássica estuda e pensa-se sobre a moral do ser humano,  logo, o outro lado da moeda paira sobre nossa sociedade, a injustiça
36|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Desde a Antiguidade  Clássica estuda e pensa-se sobre a moral do ser humano,  logo, o outro lado da moeda paira sobre nossa sociedade, a injustiça
36|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| O juiz  mais renomado  no tribunal dos nossos atos é a própria consciência
36|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| O juiz  mais renomado  no tribunal dos nossos atos é a própria consciência
36|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|"Aristóteles, um dos três grandes filósofos  Socráticos da Grécia Antiga, em seu livro, ""Ética a Nicômaco"",  disse;  "" O bom juiz é aquele que julga, honestamente, somente aquilo que  conheces """
36|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|"Aristóteles, um dos três grandes filósofos  Socráticos da Grécia Antiga, em seu livro, ""Ética a Nicômaco"",  disse;  "" O bom juiz é aquele que julga, honestamente, somente aquilo que  conheces """
36|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.|"Aristóteles, um dos três grandes filósofos  Socráticos da Grécia Antiga, em seu livro, ""Ética a Nicômaco"",  disse;  "" O bom juiz é aquele que julga, honestamente, somente aquilo que  conheces """
36|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Essa afirmação constrói uma crítica à quem espalha falso conhecimento, dito isso, agindo de má fé com seus semelhantes que  buscam sabedoria, sendo injusto com os mesmos, colocando, assim, sua moral em prova
36|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| No entanto, os meios para atingir-se o ápice são, no  mínimo , questionáveis
36|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| No entanto, os meios para atingir-se o ápice são, no  mínimo , questionáveis
36|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Essa análise é válida para todas as áreas da humanidade, já que, o ser humano,  sempre quer o melhor para si, e isso não é errado de fato, o que leva esse ato a justo ou injusto são os meios para atingir esses objetivos
36|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|Justiça é, portanto, um agente da moral individual, sendo assim, é menos doloroso sofrer uma injustiça, em detrimento de pratica-la , dado que, somos condenados a prisão perpétua de nossa consciência 
